应用来源,应用ID,应用名称,创建时间,申请人,chatling模型,大模型平台模型,scene_summary
chatling,450,LBG-精选研发组-精选商家助手-维修师傅能力分析,2026-06-30 19:12:25,renchuanliang,ChatLing-Plus-1126,,精选商家助手：依据师傅的履约指标（评价、投诉、客单价、联系用户拨打率、按时上门率、服务完单率等），从三级类目和四级类目两个维度分析师傅的履约能力，给出师傅的能力值说明、优点、缺点及改进建议，协助商家管理者了解和分析师傅的履约能力，让商家清楚自身师傅的优势、不足以及需要加强改进之处，从而提升师傅的履约能力、增强竞争力。
chatling,449,LBG-精选研发组-精选商家助手-商家能力分析,2026-06-30 19:11:29,wangyan30,Lingxi-2.0-Turbo,,精选商家助手：商家经营绩效分析工具，可按月或按日、按城市和三级类目汇总商家数据，覆盖招募、处罚、上门率、完单率、单均GMV、服务完成 GMV、客单价、订单量及排名等指标，并与上周期对比变化。系统会识别高/中风险、严重问题、待关注项和优势表现，输出结构化经营报告；同时针对未达标指标、排名靠后类目、合规风险及未开通服务区域给出可执行改进建议，帮助商家提升履约、收入和服务覆盖。
chatling,441,LBG-业务算法部-58黄页主站帖子内容生成,2026-06-26 22:08:06,zhudongchang,qwen2.5-7b-instruct,,根据用户的城市，类目，服务项，以及店铺信息，自动生成帖子标题和详情
chatling,440,LBG-业务算法部-58到家精选智能客服,2026-06-26 22:07:59,zhudongchang,Lingxi-2.0-Turbo,,通过ai客服与精选c端用户进行聊天解决用户的问题，节省人工客服的资源。包括如下功能 售前咨询：解决用户售前咨询的一些问题（知识库回复），根据用户需求发送下单卡片，引导用户下单。售中查询：查询订单进度、上门进度、服务人员信息、外呼商家or阿姨，帮用户催上门 售后服务：不满意订单重做、创建客诉、开发票
chatling,439,LBG-业务算法部-58黄页主站智能客服,2026-06-26 22:07:47,zhudongchang,Lingxi-2.0-Turbo,,辅助客服与商家进行聊天，自动调用各种工具解决商家问题（自动发帖，引导充值，使用优惠券，修改帖子关键词及店铺信息，开关推广），自动分析数据答疑商家问题（为何电话少，为何不电话类型不匹配）。
agent,422,TEG-效能研发-LBG-多路外呼-实时辅助人人对话标签提取,2026-05-20 19:06:47,zhangxue01,,,在LBG电销多路外呼场景中，销售根据crm系统的提醒，或者主动观察人机对话内容和标签，选择是否接管对话。该工作流用于对接管后的人人对话部分的asr 文本打标。是在语音分析中配置的标签提取的工作流。
agent,421,TEG-效能研发-LBG-语音分析-销售录音标签小记生成,2026-05-20 19:06:05,wangxianwei01,,,支持LBG的销售录音识别（标签和小记）：语义标签打标和小记生成，用于CRM作业展示与后期客户分析。
agent,419,TEG-AI Lab-LBG-黄页销售录音质检-“话务作假”判断,2026-05-19 10:34:38,yangqing23,,,对LBG销售与客户的对话进行质检，生成违规标签与报告，CRM展示标签并支持申诉，由业务客服复核。该流程旨在根据业务反馈，新增“话术作假”的判断规则。
agent,385,TEG-交易服务研发部-LBG-LBG审核助手(严格模型)-规则严格校验,2026-04-13 19:42:52,liuzhipeng05,,,用AI对合同订单审核进行严格分析和校验
agent,365,LBG-业务研发部-智能客服-QA回答智能体,2026-03-26 17:45:08,zouyu15,,,负责分析商家对话意图并严格按照规则输出结果。根据商家的问题，通过知识库进行回复。
agent,355,TEG-搜索推荐部-LBG-黄页通话语音转文本,2026-03-13 18:08:45,chiyongjie,,,每天例行运行将黄页业务的通话语音转为文本并落表
agent,346,TEG-AI Lab-LBG-质检标签识别,2026-02-04 17:58:24,longbiao02,,,目前LBG需要针对销售的违规行为进行全量质检和处罚（会扣分、扣工资、开除），因此需要AI介入去进行全量质检并生成质检报告。AI针对通话数据质检之后会生成各类违规标签，CRM针对标签进行展示并支持销售申诉，申诉数据会由业务客服运营进行复核，驳回或者通过。
大模型平台,236,TEG-信安-LBG-微聊房产电诈ai治理,2026-01-22 23:50:10,weihainan,,Qwen3-Base-1.7B,房产电诈ai治理项目计划进行大模型和融合模型开发，离线预测微聊信息是否有欺诈问题，以降低亿次连接投诉量。需要对杀猪盘微聊53场景样本库和特征库进行建设，涉及样本更新、特征回溯和新特征增加等需求
agent,319,LBG-风控技术部-客服通话内容解析,2025-11-26 23:13:21,jinkai,,,获取客服通话信息后，根据获取到的信息按需求提取并解析文本
